Disco Messages
Device Address,Device Name,Disco

Parameters
Device Path,Device Name,Node Addr (hex),Node Addr (dec),Object Addr (hex),Object Addr (dec),Parameter Path,Parameter,Command Type,Value,Command
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300012C",300,Audio [0x3] : Line Source Select [0.1.2C],Input Number [0x0],Set,2,\x02\x88\x00\x01\x1B\x83\x00\x01\x2C\x00\x00\x00\x00\x00\x1B\x82\xA5\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="0300012C",300,Audio [0x3] : Line Source Select [0.1.2C],Input Number [0x0],Set,3,\x02\x88\x00\x01\x1B\x83\x00\x01\x2C\x00\x00\x00\x00\x00\x1B\x83\xA4\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000130",304,Audio [0x3] : Detroit Wall Source Gain [0.1.30],Gain [0x0],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x30\x00\x00\x00\x05\x00\x00\xA6\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000130",304,Audio [0x3] : Detroit Wall Source Gain [0.1.30],Mute [0x1],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x30\x00\x01\x00\x00\x00\x00\xBA\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000130",304,Audio [0x3] : Detroit Wall Source Gain [0.1.30],Mute [0x1],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x30\x00\x01\x00\x00\x00\x01\xBB\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000131",305,Audio [0x3] : Automix Meter [0.1.31],Meter [0x0],Subscribe,0ms,\x02\x89\x00\x01\x1B\x83\x00\x01\x31\x00\x00\x00\x00\x00\x00\xBB\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000133",307,Audio [0x3] : Detroit Rack Source Gain [0.1.33],Gain [0x0],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x33\x00\x00\x00\x05\x00\x00\xA5\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000133",307,Audio [0x3] : Detroit Rack Source Gain [0.1.33],Mute [0x1],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x33\x00\x01\x00\x00\x00\x00\xB9\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000133",307,Audio [0x3] : Detroit Rack Source Gain [0.1.33],Mute [0x1],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x33\x00\x01\x00\x00\x00\x01\xB8\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000135",309,Audio [0x3] : Detroit Video Source Gain [0.1.35],Gain [0x0],Bump %,5%,\x02\x90\x00\x01\x1B\x83\x00\x01\x35\x00\x00\x00\x05\x00\x00\xA3\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000135",309,Audio [0x3] : Detroit Video Source Gain [0.1.35],Mute [0x1],Set,Unmuted,\x02\x88\x00\x01\x1B\x83\x00\x01\x35\x00\x01\x00\x00\x00\x00\xBF\x03
Detroit Ballroom : BLU-806DA-1,BLU-806DA-1,="0001",1,="03000135",309,Audio [0x3] : Detroit Video Source Gain [0.1.35],Mute [0x1],Set,Muted,\x02\x88\x00\x01\x1B\x83\x00\x01\x35\x00\x01\x00\x00\x00\x01\xBE\x03
